True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
True Positives: 0.0, False Positives: 0.0, False Negatives: 0.0, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0,
